task_id,cache_mode,agent,category,n_runs,n_ok,success_rate,wall_sec.mean,wall_sec.std,metrics.prefill_p50_sec.mean,metrics.prefill_p50_sec.std,metrics.prefill_p95_sec.mean,metrics.prefill_p95_sec.std,metrics.decode_p50_sec.mean,metrics.decode_p50_sec.std,metrics.decode_p95_sec.mean,metrics.decode_p95_sec.std,metrics.ttft_p50_sec.mean,metrics.ttft_p50_sec.std,metrics.ttft_p95_sec.mean,metrics.ttft_p95_sec.std,metrics.tbt_p50_sec.mean,metrics.tbt_p50_sec.std,metrics.tbt_p95_sec.mean,metrics.tbt_p95_sec.std,metrics.e2e_p50_sec.mean,metrics.e2e_p50_sec.std,metrics.e2e_p95_sec.mean,metrics.e2e_p95_sec.std,metrics.prompt_tokens.mean,metrics.prompt_tokens.std,metrics.generation_tokens.mean,metrics.generation_tokens.std,metrics.request_count.mean,metrics.request_count.std,metrics.prefix_cache_hit_rate.mean,metrics.prefix_cache_hit_rate.std,metrics.prompt_tokens_cached.mean,metrics.prompt_tokens_cached.std,metrics.kv_cache_usage_pct_avg.mean,metrics.kv_cache_usage_pct_avg.std,metrics.kv_cache_usage_pct_max.mean,metrics.kv_cache_usage_pct_max.std,metrics.prefill_tps.mean,metrics.prefill_tps.std,metrics.decode_tps.mean,metrics.decode_tps.std
cc_08_react_todo,on,claude_code,app_build,3,3,1.0,23.6233,2.5187,0.15,0.0,0.285,0.0,3.25,2.6101,12.375,6.2237,0.165,0.0173,0.2415,0.0017,,,,,3.3333,2.529,12.7083,5.8901,122240.5025,119988.1454,3616.2354,310.8557,5.5849,4.2647,0.9715,0.013,119368.9728,117626.5793,0.0097,0.0014,0.0137,0.0009,4074.6834,3999.6048,120.5412,10.3619
oc_01_daily_briefing,off,openclaw,briefing,3,3,1.0,21.0533,2.105,0.6587,0.0151,0.8342,0.0852,1.125,0.5728,7.25,2.5981,0.6663,0.0099,1.2938,0.6064,,,,,1.8333,0.3819,8.6667,0.1443,111056.7065,22641.715,2374.3252,528.6096,6.8002,1.0024,,,0.0,0.0,0.0051,0.0018,0.0094,0.0002,3701.8902,754.7238,79.1442,17.6203
oc_01_daily_briefing,on,openclaw,briefing,3,3,1.0,20.5533,3.3382,0.1562,0.0108,0.4117,0.2194,0.6625,0.0573,6.2083,1.8722,0.1633,0.0113,0.373,0.2291,,,,,0.8646,0.2273,6.2083,1.8722,206588.4072,68150.8134,2442.2753,433.948,11.6943,3.5442,0.9104,0.0587,188659.0464,67608.5601,0.0027,0.0008,0.0098,0.0009,6886.2802,2271.6938,81.4092,14.4649
oc_02_email_triage_x20,off,openclaw,triage,3,3,1.0,22.3967,3.2343,0.65,0.0,0.785,0.0,2.6875,0.9823,7.5,2.3848,0.7222,0.0481,0.9667,0.0144,,,,,3.1667,0.6821,7.5278,2.3368,88118.0678,4984.412,2639.6127,506.6381,5.3366,0.9294,,,0.0,0.0,0.0049,0.0022,0.0095,0.0004,2937.2689,166.1471,87.9871,16.8879
oc_02_email_triage_x20,on,openclaw,triage,3,3,1.0,18.2367,2.4116,0.15,0.0,0.285,0.0,4.0278,1.9691,6.4028,2.7908,0.175,0.0,0.2425,0.0,,,,,4.0278,1.9691,6.4028,2.7908,87159.4646,22746.0315,2602.1811,351.3245,4.9234,1.2189,0.9166,0.0087,80025.6336,21566.7724,0.0039,0.0018,0.0095,0.0,2905.3155,758.2011,86.7394,11.7108
oc_03_web_research,off,openclaw,research,3,3,1.0,19.75,0.4851,0.65,0.0,0.785,0.0,1.25,0.0,10.9167,2.8868,0.625,0.0,0.7375,0.0,,,,,1.75,0.0,14.25,0.0,65128.6448,3627.0831,2543.9037,221.3484,3.806,0.2113,,,0.0,0.0,0.0041,0.0012,0.0095,0.0,2170.9548,120.9028,84.7968,7.3783
oc_03_web_research,on,openclaw,research,3,3,1.0,17.7867,2.4047,0.15,0.0,0.285,0.0,1.25,0.0,12.5833,2.8868,0.175,0.0,0.2425,0.0,,,,,1.25,0.0,12.5833,2.8868,66088.8099,3083.2124,2480.9695,416.0383,3.8644,0.1806,0.9262,0.0002,61212.096,2860.725,0.0043,0.0009,0.0095,0.0,2202.9603,102.7737,82.699,13.8679
oc_04_cron_heartbeat,off,openclaw,heartbeat,3,3,1.0,8.24,1.2537,0.65,0.0,0.785,0.0,0.5333,0.3215,3.965,4.7988,0.625,0.0,0.7375,0.0,,,,,1.2917,0.3146,6.1292,7.2494,48804.4866,23424.7752,494.4219,109.026,3.3657,0.6357,,,0.0,0.0,0.0011,0.001,0.0059,0.0052,1626.8162,780.8258,16.4807,3.6342
oc_04_cron_heartbeat,on,openclaw,heartbeat,3,3,1.0,9.0167,0.9212,0.15,0.0,0.285,0.0,0.85,0.3775,5.7917,6.6756,0.1687,0.0108,0.2419,0.0011,,,,,0.91,0.3005,5.7917,6.6756,63193.6299,32784.3484,735.3213,324.0262,4.6051,2.3409,0.9492,0.0034,60056.304,31394.3028,0.0023,0.001,0.0089,0.0005,2106.4543,1092.8116,24.5107,10.8009
oc_05_multi_skill,off,openclaw,orchestration,3,3,1.0,11.95,0.4716,0.65,0.0,0.785,0.0,1.3333,0.1443,2.0833,0.2742,0.625,0.0,0.7375,0.0,,,,,1.8333,0.1443,3.85,1.2357,67175.3869,7694.2464,867.7934,108.1616,4.3957,0.4653,,,0.0,0.0,0.0015,0.0014,0.0058,0.005,2239.1796,256.4749,28.9264,3.6054
oc_05_multi_skill,on,openclaw,orchestration,3,3,1.0,9.7667,0.491,0.15,0.0,0.285,0.0,1.1333,0.2021,1.7458,0.3001,0.1667,0.0144,0.2417,0.0014,,,,,1.2639,0.1049,1.7681,0.2617,77193.1401,12808.857,942.3945,164.4092,5.3997,0.5307,0.946,0.0096,73063.4432,12531.2463,0.0022,0.0011,0.0085,0.0002,2573.1047,426.9619,31.4132,5.4803
oc_06_custom_skill_app,off,openclaw,app_build,3,3,1.0,107.8133,73.2896,1.2875,0.4934,2.0267,1.4056,1.1076,0.3915,19.3056,11.3077,1.4833,0.534,2.5803,1.6787,,,,,2.7847,1.0198,20.7917,9.7278,714744.0333,580038.3591,11477.2173,7632.2029,21.6789,11.1416,,,0.0,0.0,0.0108,0.0032,0.0171,0.0068,6198.4448,1190.9657,108.0037,2.3982
oc_06_custom_skill_app,on,openclaw,app_build,3,3,1.0,54.7333,7.7165,0.1556,0.0096,0.3233,0.0664,1.9583,1.0181,20.5417,12.5339,0.1714,0.0062,0.2905,0.084,,,,,2.2083,0.7939,20.5417,12.5339,233176.6031,22515.3749,7519.5344,1295.3677,10.6442,0.3666,0.9296,0.0061,216666.7632,19511.1678,0.0083,0.0012,0.0127,0.001,4338.5013,248.4973,138.905,3.6454
